國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",65,"25,771",46.25%,"6,022,947","50,223","11,724,767",20200106,1
美國,驅魔直播,2020/01/03,海樂影業股份有限公司,"THE CLEANSING HOUR, LLC.",43,"5,679",9.40%,"1,255,702","10,870","2,401,379",20200106,1
美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",40,"4,629",44.39%,"1,025,995","7,835","1,740,609",20200106,1
日本,《少女與戰車 總集篇4DX》-第63屆戰車道全國高中生大會,2020/01/03,蜜蜂工房創藝有限公司,Hakuhodo DY music &amp## pictures Inc.,6,"1,617",12.06%,"738,945","3,060","1,397,105",20200106,1
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,26,"2,135",-8.53%,"446,184","4,469","944,056",20200106,1
泰國,這一次不再錯過你,2020/01/03,傳影互動股份有限公司,"CJ ENM CO.,LTD",24,"1,391",-28.67%,"314,702","3,341","761,763",20200106,1
俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,17,892,-12.03%,"196,735","1,906","426,735",20200106,1
中華民國,菠蘿蜜,2020/01/03,牽猴子整合行銷股份有限公司,蜂鳥影像有限公司##邊境映象藝文有限公司##高雄人,4,435,-32.35%,"99,100","1,078","243,409",20200106,1
美國,鬼屋實錄：惡魔之家,2020/01/03,暗光鳥有限公司,KEW MEDIA INTERNATIONAL LIMITED,4,103,14.44%,"22,320",193,"41,660",20200106,1
南韓,國際市場：半世紀的諾言,2020/01/03,車庫娛樂股份有限公司,(韓國)CJ E&M CORPORATION,3,49,104.17%,"9,995",73,"15,495",20200106,1
南韓,鳳梧洞戰役,2020/01/03,車庫娛樂股份有限公司,SHOWBOX CORP.,2,37,-27.45%,"7,990",88,"18,695",20200106,1
南韓,我們與愛的距離,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,3,21,-22.22%,"4,685",48,"10,500",20200106,1
南韓,單身三人行,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,3,19,90.00%,"4,410",29,"6,295",20200106,1
南韓,我們的美好時光,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,3,17,183.33%,"3,590",23,"4,895",20200106,1
南韓,孩子的自白,2020/01/03,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",3,16,-23.81%,"3,380",37,"7,665",20200106,1
南韓,再見，未成年,2020/01/03,車庫娛樂股份有限公司,SHOWBOX CORP.,2,15,200.00%,"3,190",20,"4,185",20200106,1
南韓,她的名字叫薔薇,2020/01/03,車庫娛樂股份有限公司,STUDIO BONANZA INC.,3,8,60.00%,"1,745",13,"2,695",20200106,1
南韓,我的爸媽好性福,2020/01/03,車庫娛樂股份有限公司,M-LINE DISTRIBUTION,3,8,-20.00%,"1,280",18,"3,605",20200106,1
南韓,朝鮮花美男,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,2,23,-78.70%,"5,475",131,"28,780",20200106,1
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",65,"20,614",-20.01%,"4,832,782","70,837","16,557,549",20200113,1
美國,驅魔直播,2020/01/03,海樂影業股份有限公司,"THE CLEANSING HOUR, LLC.",43,"2,208",-61.12%,"486,257","13,078","2,887,636",20200113,1
美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",35,"2,026",-56.23%,"445,064","9,861","2,185,673",20200113,1
日本,《少女與戰車 總集篇4DX》-第63屆戰車道全國高中生大會,2020/01/03,蜜蜂工房創藝有限公司,Hakuhodo DY music &amp## pictures Inc.,6,516,-68.09%,"232,225","3,576","1,629,330",20200113,1
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,24,948,-55.60%,"199,045","5,417","1,143,101",20200113,1
泰國,這一次不再錯過你,2020/01/03,傳影互動股份有限公司,"CJ ENM CO.,LTD",22,284,-79.58%,"64,788","3,625","826,551",20200113,1
中華民國,菠蘿蜜,2020/01/03,牽猴子整合行銷股份有限公司,蜂鳥影像有限公司##邊境映象藝文有限公司##高雄人,4,225,-48.28%,"49,965","1,303","293,374",20200113,1
俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,13,130,-85.43%,"29,335","2,036","456,070",20200113,1
南韓,國際市場：半世紀的諾言,2020/01/03,車庫娛樂股份有限公司,(韓國)CJ E&M CORPORATION,3,23,-53.06%,"5,015",96,"20,510",20200113,1
南韓,孩子的自白,2020/01/03,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",2,8,-50.00%,"1,900",45,"9,565",20200113,1
南韓,朝鮮花美男,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,2,9,-60.87%,"1,855",140,"30,635",20200113,1
南韓,鳳梧洞戰役,2020/01/03,車庫娛樂股份有限公司,SHOWBOX CORP.,2,6,-83.78%,"1,445",94,"20,140",20200113,1
美國,鬼屋實錄：惡魔之家,2020/01/03,暗光鳥有限公司,KEW MEDIA INTERNATIONAL LIMITED,1,6,-94.17%,"1,320",199,"42,980",20200113,1
南韓,再見，未成年,2020/01/03,車庫娛樂股份有限公司,SHOWBOX CORP.,2,4,-73.33%,875,24,"5,060",20200113,1
南韓,我們與愛的距離,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,2,3,-85.71%,655,51,"11,155",20200113,1
南韓,單身三人行,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,2,3,-84.21%,620,32,"6,915",20200113,1
南韓,她的名字叫薔薇,2020/01/03,車庫娛樂股份有限公司,STUDIO BONANZA INC.,2,2,-75.00%,445,15,"3,140",20200113,1
南韓,我們的美好時光,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,2,2,-88.24%,290,25,"5,185",20200113,1
南韓,我的爸媽好性福,2020/01/03,車庫娛樂股份有限公司,M-LINE DISTRIBUTION,1,0,-100.00%,0,18,"3,605",20200113,1
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",60,"8,980",-56.44%,"2,142,159","79,817","18,699,708",20200120,1
美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",15,412,-79.66%,"91,045","10,273","2,276,718",20200120,1
美國,驅魔直播,2020/01/03,海樂影業股份有限公司,"THE CLEANSING HOUR, LLC.",23,331,-85.01%,"73,090","13,409","2,960,726",20200120,1
日本,《少女與戰車 總集篇4DX》-第63屆戰車道全國高中生大會,2020/01/03,蜜蜂工房創藝有限公司,Hakuhodo DY music &amp## pictures Inc.,6,156,-69.77%,"69,816","3,732","1,699,146",20200120,1
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,11,285,-69.94%,"61,315","5,702","1,204,416",20200120,1
中華民國,菠蘿蜜,2020/01/03,牽猴子整合行銷股份有限公司,蜂鳥影像有限公司##邊境映象藝文有限公司##高雄人,3,50,-77.78%,"11,695","1,353","305,069",20200120,1
泰國,這一次不再錯過你,2020/01/03,傳影互動股份有限公司,"CJ ENM CO.,LTD",2,9,-96.83%,"2,110","3,634","828,661",20200120,1
日本,《少女與戰車 總集篇4DX》-第63屆戰車道全國高中生大會,2020/01/03,蜜蜂工房創藝有限公司,Hakuhodo DY music &amp## pictures Inc.,6,101,-35.26%,"44,657","3,833","1,743,803",20200127,1
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,2,250,-12.28%,"52,235","5,952","1,256,651",20200127,1
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",36,"4,665",-47.77%,"1,108,648","84,434","19,798,446",20200127,1
美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",1,110,-73.30%,"25,080","10,383","2,300,798",20200127,1
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",29,"1,940",-58.41%,"452,228","86,374","20,250,674",20200203,2
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,2,20,-92.00%,"4,140","5,972","1,260,791",20200203,2
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",10,82,-14.58%,"18,645","88,321","20,699,863",20200210,2
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",10,783,-55.74%,"175,920","88,926","20,835,433",20200217,2
美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",2,57,0.00%,"6,890","10,440","2,307,688",20200217,2
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",10,423,-45.98%,"93,305","89,349","20,928,738",20200224,2
美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",2,96,68.42%,"10,970","10,536","2,318,658",20200224,2
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,1,16,0.00%,"2,560","5,988","1,263,351",20200224,2
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",8,85,-79.91%,"18,250","89,434","20,946,988",20200302,3
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,2,123,668.75%,"11,640","6,111","1,274,991",20200302,3
美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",3,52,-45.83%,"6,790","10,588","2,325,448",20200302,3
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,2,143,16.26%,"12,740","6,254","1,287,731",20200309,3
美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",2,32,-38.46%,"4,780","10,620","2,330,228",20200309,3
俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,1,20,0.00%,"3,200","2,056","459,270",20200309,3
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,4,296,106.99%,"19,215","6,550","1,306,946",20200316,3
美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",2,79,146.88%,"7,460","10,699","2,337,688",20200316,3
俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,1,30,50.00%,"4,360","2,086","463,630",20200316,3
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,4,288,-2.70%,"18,960","6,838","1,325,906",20200323,3
美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",2,96,21.52%,"8,200","10,795","2,345,888",20200323,3
俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,1,18,-40.00%,"2,680","2,104","466,310",20200323,3
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,345,0.00%,"25,450","89,779","20,972,438",20200330,3
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,3,135,-53.13%,"9,990","6,973","1,335,896",20200330,3
美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",1,24,-75.00%,"1,920","10,819","2,347,808",20200330,3
俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,1,6,-66.67%,840,"2,110","467,150",20200330,3
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",5,479,38.84%,"38,945","90,258","21,011,383",20200406,4
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,2,45,-66.67%,"3,325","7,018","1,339,221",20200406,4
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",7,434,-9.39%,"37,460","90,692","21,048,843",20200413,4
印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,1,22,-51.11%,"1,210","7,040","1,340,431",20200413,4
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",6,212,-51.15%,"20,415","90,904","21,069,258",20200420,4
俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,1,8,0.00%,"1,280","2,118","468,430",20200420,4
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",5,100,-52.83%,"12,060","91,004","21,081,318",20200427,4
俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,1,20,150.00%,"3,040","2,138","471,470",20200427,4
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",3,62,-38.00%,"8,020","91,066","21,089,338",20200504,5
俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,1,9,-55.00%,"1,350","2,147","472,820",20200504,5
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,8,-77.14%,"1,120","91,109","21,095,058",20200518,5
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,23,0.00%,"2,480","91,132","21,097,538",20200629,6
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,48,108.70%,"5,440","91,180","21,102,978",20200706,7
美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,18,-62.50%,"2,100","91,198","21,105,078",20200713,7
中華民國,還有一些樹,2020/01/04,蜂鳥影像有限公司,蜂鳥影像有限公司,1,67,39.58%,"14,725",115,"25,400",20200106,1
美國,重磅腥聞,2020/01/10,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,67,"21,855",4.53%,"5,081,968","42,763","9,927,712",20200113,1
日本,魯邦三世 THE FIRST,2020/01/10,向洋影業有限公司,株式会社トムス・エンタテインメント,75,"5,800",17.58%,"1,297,808","10,733","2,405,473",20200113,1
英國,大監獄行動,2020/01/10,台北双喜電影發行股份有限公司,Media Film International,39,"5,429",-20.16%,"1,194,183","12,229","2,698,335",20200113,1
西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,48,"2,497",-19.89%,"557,085","5,614","1,255,802",20200113,1
日本,動畫電影版 我想吃掉你的胰臟,2020/01/10,車庫娛樂股份有限公司,ANIPLEX INC.,13,"2,006",51.40%,"481,837","3,331","806,411",20200113,1
美國,惡靈20,2020/01/10,華映娛樂股份有限公司,Hyde Park Entertainment LLC,35,"2,080",-15.24%,"474,455","4,534","1,028,543",20200113,1
法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,10,622,8.93%,"133,440","1,193","253,175",20200113,1
美國,Cunningham 機遇之舞,2020/01/10,天馬行空數位有限公司,Dogwoof Ltd,10,384,53.60%,"81,225",634,"134,558",20200113,1
英國,鬼眼逼人,2020/01/10,暗光鳥有限公司,DEVILWORKS LIMITED,4,127,-29.05%,"27,227",306,"67,369",20200113,1
美國,重磅腥聞,2020/01/10,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,67,"5,144",-76.46%,"1,225,085","47,907","11,152,797",20200120,1
日本,魯邦三世 THE FIRST,2020/01/10,向洋影業有限公司,株式会社トムス・エンタテインメント,69,"2,411",-58.43%,"535,180","13,144","2,940,653",20200120,1
英國,大監獄行動,2020/01/10,台北双喜電影發行股份有限公司,Media Film International,37,"1,128",-79.22%,"249,535","13,357","2,947,870",20200120,1
日本,動畫電影版 我想吃掉你的胰臟,2020/01/10,車庫娛樂股份有限公司,ANIPLEX INC.,11,776,-61.32%,"186,460","4,107","992,871",20200120,1
西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,37,313,-87.46%,"69,515","5,927","1,325,317",20200120,1
美國,惡靈20,2020/01/10,華映娛樂股份有限公司,Hyde Park Entertainment LLC,25,254,-87.79%,"56,285","4,788","1,084,828",20200120,1
美國,Cunningham 機遇之舞,2020/01/10,天馬行空數位有限公司,Dogwoof Ltd,5,83,-78.39%,"18,295",717,"152,853",20200120,1
法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,5,50,-91.96%,"10,825","1,243","264,000",20200120,1
英國,鬼眼逼人,2020/01/10,暗光鳥有限公司,DEVILWORKS LIMITED,4,22,-82.68%,"4,800",328,"72,169",20200120,1
日本,魯邦三世 THE FIRST,2020/01/10,向洋影業有限公司,株式会社トムス・エンタテインメント,7,142,-94.11%,"33,347","13,286","2,974,000",20200127,1
日本,動畫電影版 我想吃掉你的胰臟,2020/01/10,車庫娛樂股份有限公司,ANIPLEX INC.,3,54,-93.04%,"12,795","4,161","1,005,666",20200127,1
法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,1,6,-88.00%,"1,400","1,249","265,400",20200127,1
美國,重磅腥聞,2020/01/10,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,31,"1,460",-71.58%,"349,070","49,361","11,500,667",20200127,1
美國,惡靈20,2020/01/10,華映娛樂股份有限公司,Hyde Park Entertainment LLC,1,33,-87.01%,"6,270","4,821","1,091,098",20200127,1
英國,大監獄行動,2020/01/10,台北双喜電影發行股份有限公司,Media Film International,4,27,-97.61%,"6,960","13,384","2,954,830",20200127,1
美國,重磅腥聞,2020/01/10,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,20,364,-75.07%,"81,926","49,725","11,582,593",20200203,2
日本,魯邦三世 THE FIRST,2020/01/10,向洋影業有限公司,株式会社トムス・エンタテインメント,1,51,-64.08%,"12,230","13,337","2,986,230",20200203,2
日本,動畫電影版 我想吃掉你的胰臟,2020/01/10,車庫娛樂股份有限公司,ANIPLEX INC.,1,13,-75.93%,"3,400","4,174","1,009,066",20200203,2
美國,惡靈20,2020/01/10,華映娛樂股份有限公司,Hyde Park Entertainment LLC,1,2,-93.94%,380,"4,823","1,091,478",20200203,2
法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,2,13,-7.14%,"1,890","1,318","275,750",20200210,2
法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,2,89,111.90%,"13,310","1,380","285,130",20200217,2
西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,3,70,0.00%,"10,900","5,997","1,336,217",20200217,2
日本,魯邦三世 THE FIRST,2020/01/10,向洋影業有限公司,株式会社トムス・エンタテインメント,1,15,-57.14%,"3,890","13,387","2,999,440",20200217,2
美國,重磅腥聞,2020/01/10,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,1,5,-97.16%,"1,320","49,906","11,623,724",20200217,2
西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,4,212,202.86%,"26,100","6,209","1,362,317",20200224,2
日本,魯邦三世 THE FIRST,2020/01/10,向洋影業有限公司,株式会社トムス・エンタテインメント,3,56,273.33%,"7,730","13,443","3,007,170",20200224,2
法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,2,50,-43.82%,"7,420","1,430","292,550",20200224,2
西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,5,377,77.83%,"40,300","6,586","1,402,617",20200302,3
日本,魯邦三世 THE FIRST,2020/01/10,向洋影業有限公司,株式会社トムス・エンタテインメント,2,54,-3.57%,"7,300","13,497","3,014,470",20200302,3
法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,1,12,-76.00%,"1,680","1,442","294,230",20200302,3
西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,6,394,4.51%,"31,010","6,980","1,433,627",20200309,3
日本,魯邦三世 THE FIRST,2020/01/10,向洋影業有限公司,株式会社トムス・エンタテインメント,1,10,-81.48%,"1,500","13,507","3,015,970",20200309,3
西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,5,321,-18.53%,"21,755","7,301","1,455,382",20200316,3
法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,2,55,0.00%,"2,915","1,497","297,145",20200316,3
西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,3,193,-39.88%,"11,930","7,494","1,467,312",20200323,3
法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,2,54,-1.82%,"2,960","1,551","300,105",20200323,3
西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,2,63,-67.36%,"3,410","7,557","1,470,722",20200330,3
法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,1,24,-55.56%,"1,200","1,575","301,305",20200330,3
西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,1,15,-76.19%,825,"7,572","1,471,547",20200406,4
法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,1,6,-75.00%,300,"1,581","301,605",20200406,4
美國,重磅腥聞,2020/01/10,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,1,108,0.00%,"21,600","50,014","11,645,324",20201109,11
加拿大,哥哥戀愛了，我怎麼辦!?,2020/01/15,亮點國際影業有限公司,Seville Pictures Inc,7,135,-67.55%,"27,485",551,"115,865",20200120,1
中華民國,柯俊雄的電影人生,2020/01/15,駿繕企業有限公司,駿繕企業有限公司,9,62,-44.64%,"12,880",174,"35,752",20200120,1
中華民國,柯俊雄的電影人生,2020/01/15,駿繕企業有限公司,駿繕企業有限公司,1,2,-96.77%,440,176,"36,192",20200127,1
加拿大,哥哥戀愛了，我怎麼辦!?,2020/01/15,亮點國際影業有限公司,Seville Pictures Inc,6,54,-60.00%,"11,210",605,"127,075",20200127,1
加拿大,哥哥戀愛了，我怎麼辦!?,2020/01/15,亮點國際影業有限公司,Seville Pictures Inc,1,3,-94.44%,630,608,"127,705",20200203,2
美國,絕地戰警FOR LIFE,2020/01/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,101,"182,000",0.65%,"43,755,249","362,821","86,534,259",20200120,1
中華民國,台北物語2-獲利者,2020/01/16,丰采公關行銷有限公司,丰采公關行銷有限公司##健友國際企業有限公司,15,237,-76.42%,"52,315","1,242","285,385",20200120,1
中華民國,台北物語2-獲利者,2020/01/16,丰采公關行銷有限公司,丰采公關行銷有限公司##健友國際企業有限公司,4,25,-89.45%,"5,740","1,267","291,125",20200127,1
美國,絕地戰警FOR LIFE,2020/01/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,101,"142,625",-21.94%,"34,507,667","506,147","121,183,306",20200127,1
美國,絕地戰警FOR LIFE,2020/01/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,98,"37,091",-73.99%,"8,773,439","543,236","129,956,225",20200203,2
中華民國,台北物語2-獲利者,2020/01/16,丰采公關行銷有限公司,丰采公關行銷有限公司##健友國際企業有限公司,1,63,152.00%,"14,040","1,330","305,165",20200203,2
美國,絕地戰警FOR LIFE,2020/01/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,80,"1,132",-4.23%,"263,150","565,200","135,109,292",20200210,2
美國,絕地戰警FOR LIFE,2020/01/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,80,"6,698",-65.91%,"1,570,290","569,584","136,142,467",20200217,2
美國,絕地戰警FOR LIFE,2020/01/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,54,"1,644",-75.46%,"393,833","571,228","136,536,300",20200224,2
