序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week
133,英國,末代皇帝,1988/04/23,香港商甲上娛樂有限公司台灣分公司,Hanway Films Limited,9,475,-48.92%,"113,340","53,453","13,227,636",20200706
134,中華民國,海灘的一天,1983/11/11,中影股份有限公司,(中華民國)中影股份有限公司##(香港)新藝城影業公司,1,29,-71.00%,"5,700","5,453","1,224,820",20200706
135,美國,北非諜影,1947/01/31,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,139,-36.24%,"36,411","5,085","1,165,490",20200706
1,法國,綠光 經典數位修復,2020/07/11,天馬行空數位有限公司,LES FILMS DU LOSANGE,10,637,286.06%,"137,504",802,"173,194",20200713
2,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,15,"3,823","2,448.67%","835,236","3,973","863,736",20200713
3,日本,假面病棟,2020/07/10,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Warner Bros. Japan LLC,43,"2,823",-3.91%,"656,090","5,761","1,344,279",20200713
4,美國,疤面教父,2020/07/10,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,61,"2,385",-39.95%,"543,373","6,357","1,461,194",20200713
5,德國,里斯本的故事,2020/07/10,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,14,"2,005",26.10%,"435,930","3,595","787,197",20200713
6,日本,慾火烈愛,2020/07/10,中影股份有限公司,株式會社波麗佳音(PONY CANYON INC.),26,992,-2.75%,"208,625","2,012","430,877",20200713
7,英國,PJ 哈維：戰地拾音錄,2020/07/10,造次文化有限公司,Autlook Filmsalesv Gmbh,9,223,-3.46%,"48,570",454,"102,660",20200713
8,法國,女子漢又怎樣,2020/07/10,車庫娛樂股份有限公司,ELLE DRIVER,3,92,-10.68%,"21,935",195,"45,665",20200713
9,日本,謙虛的英雄,2020/07/10,車庫娛樂股份有限公司,"STUDIO PONOC, INC.",3,27,-32.50%,"6,250",67,"14,790",20200713
