序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,Week
10,中華民國,柯俊雄的電影人生,2020/1/15,駿繕企業有限公司,駿繕企業有限公司,9,62,-44.64%,"12,880",174,"35,752",20200120
91,德國,NG你的人生,2019/9/12,暗光鳥有限公司,RAVEN BANNER ENTERTAINMENT INC.,1,5,0.00%,"1,030",154,"33,650",20200120
20,南韓,朝鮮花美男,2020/1/3,車庫娛樂股份有限公司,CONTENTS PANDA,2,9,-60.87%,"1,855",140,"30,635",20200113
7,日本,吸血黏土,2020/1/30,暗光鳥有限公司,"MONUMENT RELEASING, LLC",5,55,-32.93%,"11,520",137,"29,296",20200203
20,南韓,朝鮮花美男,2020/1/3,車庫娛樂股份有限公司,CONTENTS PANDA,2,23,-78.70%,"5,475",131,"28,780",20200106
111,日本,當愛沉睡時,2018/10/1,車庫娛樂股份有限公司,(韓國)M-LINE DISTRIBUTION,2,3,-75.00%,600,145,"26,655",20200113
116,日本,當愛沉睡時,2018/10/1,車庫娛樂股份有限公司,(韓國)M-LINE DISTRIBUTION,3,12,-74.47%,"2,665",142,"26,055",20200106
1,中華民國,還有一些樹,2020/1/4,蜂鳥影像有限公司,蜂鳥影像有限公司,1,67,39.58%,"14,725",115,"25,400",20200106
18,南韓,國際市場：半世紀的諾言,2020/1/3,車庫娛樂股份有限公司,(韓國)CJ E&M CORPORATION,3,23,-53.06%,"5,015",96,"20,510",20200113
21,南韓,鳳梧洞戰役,2020/1/3,車庫娛樂股份有限公司,SHOWBOX CORP.,2,6,-83.78%,"1,445",94,"20,140",20200113
12,南韓,鳳梧洞戰役,2020/1/3,車庫娛樂股份有限公司,SHOWBOX CORP.,2,37,-27.45%,"7,990",88,"18,695",20200106
11,南韓,國際市場：半世紀的諾言,2020/1/3,車庫娛樂股份有限公司,(韓國)CJ E&M CORPORATION,3,49,104.17%,"9,995",73,"15,495",20200106
24,南韓,我們與愛的距離,2020/1/3,車庫娛樂股份有限公司,CONTENTS PANDA,2,3,-85.71%,655,51,"11,155",20200113
13,南韓,我們與愛的距離,2020/1/3,車庫娛樂股份有限公司,CONTENTS PANDA,3,21,-22.22%,"4,685",48,"10,500",20200106
117,南韓,大叔,2010/1/1,車庫娛樂股份有限公司,OPUS PICTURES,2,9,-55.00%,"1,870",48,"10,045",20200113
1,法國,大鼻子情聖(經典劇場),2020/2/1,威秀影城股份有限公司,Path? Live,4,14,0.00%,"9,680",14,"9,680",20200203
19,南韓,孩子的自白,2020/1/3,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",2,8,-50.00%,"1,900",45,"9,565",20200113
21,南韓,大叔,2010/1/1,車庫娛樂股份有限公司,OPUS PICTURES,2,20,5.26%,"4,070",39,"8,175",20200106
16,南韓,孩子的自白,2020/1/3,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",3,16,-23.81%,"3,380",37,"7,665",20200106
25,南韓,單身三人行,2020/1/3,車庫娛樂股份有限公司,CONTENTS PANDA,2,3,-84.21%,620,32,"6,915",20200113
14,南韓,單身三人行,2020/1/3,車庫娛樂股份有限公司,CONTENTS PANDA,3,19,90.00%,"4,410",29,"6,295",20200106
27,南韓,我們的美好時光,2020/1/3,車庫娛樂股份有限公司,CONTENTS PANDA,2,2,-88.24%,290,25,"5,185",20200113
23,南韓,再見，未成年,2020/1/3,車庫娛樂股份有限公司,SHOWBOX CORP.,2,4,-73.33%,875,24,"5,060",20200113
15,南韓,我們的美好時光,2020/1/3,車庫娛樂股份有限公司,CONTENTS PANDA,3,17,183.33%,"3,590",23,"4,895",20200106
17,南韓,再見，未成年,2020/1/3,車庫娛樂股份有限公司,SHOWBOX CORP.,2,15,200.00%,"3,190",20,"4,185",20200106
19,南韓,我的爸媽好性福,2020/1/3,車庫娛樂股份有限公司,M-LINE DISTRIBUTION,3,8,-20.00%,"1,280",18,"3,605",20200106
28,南韓,我的爸媽好性福,2020/1/3,車庫娛樂股份有限公司,M-LINE DISTRIBUTION,1,0,-100.00%,0,18,"3,605",20200113
26,南韓,她的名字叫薔薇,2020/1/3,車庫娛樂股份有限公司,STUDIO BONANZA INC.,2,2,-75.00%,445,15,"3,140",20200113
18,南韓,她的名字叫薔薇,2020/1/3,車庫娛樂股份有限公司,STUDIO BONANZA INC.,3,8,60.00%,"1,745",13,"2,695",20200106
